Start,Generated rewards,Locked,Claimable,Identifier,Yield type,Validator identifier,Asset identifier,Internal account name,Internal account tags,Platform
2025-02-12T00:00:00,177.404421,463649.654151,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-13T00:00:00,0,463911.814157,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-14T00:00:00,176.395958,463911.814157,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-15T00:00:00,0,464150.867608,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-16T00:00:00,175.632035,464150.867608,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-10T00:00:00,176.296781,463407.710396,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-11T00:00:00,0,463649.654151,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-12T00:00:00,177.404421,463649.654151,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-13T00:00:00,0,463911.814157,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-14T00:00:00,176.395958,463911.814157,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-15T00:00:00,0,464150.867608,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-16T00:00:00,175.632035,464150.867608,0,c17lg66vj78nyy2fdjcbnnr6p3axta7a4uxjoiyuabdx,REWARD,J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP,native,Solanast,VALIDATOR;ASRT;CLIENT A CEFI;ENTITY 2;STAKING;CLIENT;OTC;BOBA;test,SOLANA
2025-02-10T00:00:00,313.95783,2832207.889671,8080.469935,sei14cyccpdwp6rl3ul3e48g4qukykcj0w4qva0k6h,REWARD,seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,usei,Sei,PROJECT 1234,SEI
2025-02-11T00:00:00,314.053661,2832207.889671,8394.427765,sei14cyccpdwp6rl3ul3e48g4qukykcj0w4qva0k6h,REWARD,seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,usei,Sei,PROJECT 1234,SEI
2025-02-12T00:00:00,314.074109,2832207.889671,8708.481427,sei14cyccpdwp6rl3ul3e48g4qukykcj0w4qva0k6h,REWARD,seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,usei,Sei,PROJECT 1234,SEI
2025-02-13T00:00:00,324.16103,2832207.889671,9022.555536,sei14cyccpdwp6rl3ul3e48g4qukykcj0w4qva0k6h,REWARD,seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,usei,Sei,PROJECT 1234,SEI
2025-02-14T00:00:00,324.242612,2832207.889671,9346.716566,sei14cyccpdwp6rl3ul3e48g4qukykcj0w4qva0k6h,REWARD,seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,usei,Sei,PROJECT 1234,SEI
2025-02-15T00:00:00,324.250324,2832207.889671,9670.959177,sei14cyccpdwp6rl3ul3e48g4qukykcj0w4qva0k6h,REWARD,seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,usei,Sei,PROJECT 1234,SEI
